prplRqstNo,instRcptSn
1AB-2509-0009173,201093428
1AB-2509-0009166,201093421
1AB-2509-0009160,201093417
1AB-2509-0009141,201093414
1AB-2509-0009148,201093408
1AB-2509-0009130,201093407
1AB-2509-0009123,201093401
1AB-2509-0009107,201093390
1AB-2509-0009097,201093381
1AB-2509-0009086,201093377
1AB-2509-0009109,201093373
1AB-2509-0009079,201093359
1AB-2509-0009049,201093356
1AB-2509-0009077,201093354
1AB-2509-0009053,201093333
1AB-2509-0009016,201093301
1AB-2509-0009001,201093286
1AB-2509-0008980,201093278
1AB-2509-0008994,201093274
1AB-2509-0008982,201093271
1AB-2509-0008931,201093266
1AB-2509-0008989,201093263
1AB-2509-0008964,201093249
1AB-2509-0008960,201097893
1AB-2509-0008960,201093248
1AB-2509-0008955,201093243
1AB-2509-0008952,201093238
1AB-2509-0008951,201093237
1AB-2509-0008943,201093232
1AB-2509-0008935,201093228
1AB-2509-0008932,201093227
1AB-2509-0008927,201093223
1AB-2509-0008922,201093219
1AB-2509-0008904,201093209
1AB-2509-0008874,201093206
1AB-2509-0008884,201093204
1AB-2509-0008884,201095180
1AB-2509-0008884,201095384
1AB-2509-0008879,201093189
1AB-2509-0008875,201093121
1AB-2509-0008837,201093115
1AB-2509-0008838,201093113
1AB-2509-0008827,201093109
1AB-2509-0008824,201093081
1AB-2509-0008820,201093080
1AB-2509-0008786,201093035
1AB-2509-0008778,201093032
1AB-2509-0008771,201093027
1AB-2509-0008763,201093024
1AB-2509-0008751,201093019
1AB-2509-0008750,201093010
1AB-2509-0008742,201093006
1AB-2509-0008738,201093005
1AB-2509-0008728,201093001
1AB-2509-0008729,201093000
1AB-2509-0008723,201092998
1AB-2509-0008721,201092995
1AB-2509-0008720,201093148
1AB-2509-0008720,201093149
1AB-2509-0008720,201093144
1AB-2509-0008720,201093142
1AB-2509-0008720,201093141
1AB-2509-0008720,201093140
1AB-2509-0008720,201093139
1AB-2509-0008720,201093152
1AB-2509-0008720,201093160
1AB-2509-0008720,201093165
1AB-2509-0008720,201093167
1AB-2509-0008720,201093096
1AB-2509-0008720,201093125
1AB-2509-0008720,201093131
1AB-2509-0008720,201093132
1AB-2509-0008720,201093133
1AB-2509-0008720,201093138
1AB-2509-0008705,201094849
1AB-2509-0008705,201094850
1AB-2509-0008705,201092992
1AB-2509-0008704,201092984
1AB-2509-0008702,201092981
1AB-2509-0008697,201092980
1AB-2509-0008689,201092976
1AB-2509-0008688,201092975
1AB-2509-0008688,201094967
1AB-2509-0008686,201092974
1AB-2509-0008685,201092972
1AB-2509-0008670,201092967
1AB-2509-0008675,201092966
1AB-2509-0008676,201092965
1AB-2509-0008656,201092953
1AB-2509-0008648,201092951
1AB-2509-0008651,201092949
1AB-2509-0008626,201092945
1AB-2509-0008621,201092925
1AB-2509-0008585,201092893
1AB-2509-0008582,201092889
1AB-2509-0008553,201092864
1AB-2509-0008495,201092860
1AB-2509-0008513,201092859
1AB-2509-0008525,201092843
1AB-2509-0008514,201092841
1AB-2509-0008523,201092840
1AB-2509-0008511,201092830
1AB-2509-0008488,201092811
1AB-2509-0008467,201092810
1AB-2509-0008459,201092793
1AB-2509-0008426,201092753
1AB-2509-0008351,201092685
1AB-2509-0008342,201092676
1AB-2509-0008336,201092671
1AB-2509-0008329,201092666
1AB-2509-0008310,201095981
1AB-2509-0008310,201092652
1AB-2509-0008306,201092645
1AB-2509-0008296,201092642
1AB-2509-0008256,201092610
1AB-2509-0008254,201092606
1AB-2509-0008226,201092599
1AB-2509-0008238,201092598
1AB-2509-0008244,201092597
1AB-2509-0008206,201092594
1AB-2509-0008236,201092591
1AB-2509-0008235,201092590
1AB-2509-0008231,201092586
1AB-2509-0008207,201092576
1AB-2509-0008201,201092570
1AB-2509-0008194,201092568
1AB-2509-0008187,201092567
1AB-2509-0008199,201092566
1AB-2509-0008183,201094634
1AB-2509-0008183,201092563
1AB-2509-0008183,201094631
1AB-2509-0008183,201094633
1AB-2509-0008185,201092559
1AB-2509-0008181,201092557
1AB-2509-0008180,201092556
1AB-2509-0008179,201095382
1AB-2509-0008145,201092526
1AB-2509-0008143,201092524
1AB-2509-0008136,201092498
1AB-2509-0008129,201093816
1AB-2509-0008129,201092492
1AB-2509-0008118,201092486
1AB-2509-0008111,201092481
1AB-2509-0008106,201092480
1AB-2509-0008102,201092477
1AB-2509-0008098,201094076
1AB-2509-0008098,201094075
1AB-2509-0008098,201094074
1AB-2509-0008098,201094073
1AB-2509-0008098,201094071
1AB-2509-0008098,201094070
1AB-2509-0008098,201094069
1AB-2509-0008098,201094068
1AB-2509-0008098,201094067
1AB-2509-0008098,201094066
1AB-2509-0008098,201094064
1AB-2509-0008098,201094063
1AB-2509-0008098,201092471
1AB-2509-0008098,201094077
1AB-2509-0008098,201094072
1AB-2509-0008079,201092461
1AB-2509-0008072,201092457
1AB-2509-0008061,201092447
1AB-2509-0008062,201092440
1AB-2509-0008048,201092435
1AB-2509-0008048,201098060
1AB-2509-0008043,201092429
1AB-2509-0007997,201092384
1AB-2509-0007994,201092383
1AB-2509-0007976,201092369
1AB-2509-0007943,201092335
1AB-2509-0007942,201092333
1AB-2509-0007938,201092330
1AB-2509-0007921,201092319
1AB-2509-0007924,201092318
1AB-2509-0007913,201092313
1AB-2509-0007908,201092309
1AB-2509-0007905,201092307
1AB-2509-0007889,201092298
1AB-2509-0007882,201092295
1AB-2509-0007866,201094149
1AB-2509-0007866,201092290
1AB-2509-0007876,201092288
1AB-2509-0007870,201092283
1AB-2509-0007857,201092276
1AB-2509-0007850,201092271
1AB-2509-0007823,201092260
1AB-2509-0007829,201092256
1AB-2509-0007712,201092251
1AB-2509-0007775,201092250
1AB-2509-0007791,201092249
1AB-2509-0007796,201092248
1AB-2509-0007777,201092246
1AB-2509-0007770,201092241
1AB-2509-0007792,201092240
1AB-2509-0007778,201092237
1AB-2509-0007676,201092233
1AB-2509-0007768,201092232
1AB-2509-0007764,201092226
1AB-2509-0007741,201092225
1AB-2509-0007750,201092209
1AB-2509-0007692,201092165
1AB-2509-0007649,201092152
1AB-2509-0007621,201092146
1AB-2509-0007652,201092134
1AB-2509-0007514,201093172
1AB-2509-0007603,201092073
1AB-2509-0007594,201092066
1AB-2509-0007576,201092064
1AB-2509-0007560,201092060
1AB-2509-0007586,201092059
1AB-2509-0007577,201092057
1AB-2509-0007569,201092053
1AB-2509-0007568,201092051
1AB-2509-0007573,201092050
1AB-2509-0007563,201092046
1AB-2509-0007535,201092018
1AB-2509-0007532,201092014
1AB-2509-0007528,201092012
1AB-2509-0007517,201092011
1AB-2509-0007518,201092003
1AB-2509-0007510,201092000
1AB-2509-0007495,201091994
1AB-2509-0007452,201091993
1AB-2509-0007493,201091981
1AB-2509-0007490,201091980
1AB-2509-0007484,201091979
1AB-2509-0007467,201091974
1AB-2509-0007455,201091973
1AB-2509-0007479,201091970
1AB-2509-0007462,201091968
1AB-2509-0007470,201091957
1AB-2509-0007438,201091953
1AB-2509-0007371,201091939
1AB-2509-0007410,201091892
1AB-2509-0007394,201091888
1AB-2509-0007397,201091886
1AB-2509-0007396,201091885
1AB-2509-0007393,201091883
1AB-2509-0007389,201091839
1AB-2509-0007387,201091838
1AB-2509-0007381,201091836
1AB-2509-0007355,201091830
1AB-2509-0007353,201091829
1AB-2509-0007372,201091827
1AB-2509-0007359,201091801
1AB-2509-0007352,201091793
1AB-2509-0007340,201091787
1AB-2509-0007339,201091785
1AB-2509-0007331,201091783
1AB-2509-0007328,201091779
1AB-2509-0007327,201091778
1AB-2509-0007313,201091769
1AB-2509-0007304,201091766
1AB-2509-0007279,201091744
1AB-2509-0007275,201091737
1AB-2509-0007274,201091736
1AB-2509-0007272,201091735
1AB-2509-0007271,201091734
1AB-2509-0007268,201091732
1AB-2509-0007266,201091730
1AB-2509-0007264,201098219
1AB-2509-0007264,201098220
1AB-2509-0007264,201098221
1AB-2509-0007264,201098222
1AB-2509-0007264,201098223
1AB-2509-0007264,201098224
1AB-2509-0007264,201098225
1AB-2509-0007264,201098226
1AB-2509-0007264,201098227
1AB-2509-0007264,201098228
1AB-2509-0007264,201098229
1AB-2509-0007264,201091729
1AB-2509-0007264,201098216
1AB-2509-0007264,201098217
1AB-2509-0007264,201098218
1AB-2509-0007261,201091805
1AB-2509-0007261,201091845
1AB-2509-0007261,201091844
1AB-2509-0007261,201091843
1AB-2509-0007261,201091842
1AB-2509-0007261,201091821
1AB-2509-0007261,201091820
1AB-2509-0007261,201091819
1AB-2509-0007261,201091806
1AB-2509-0007261,201091807
1AB-2509-0007261,201091808
1AB-2509-0007261,201091809
1AB-2509-0007261,201091810
1AB-2509-0007261,201091811
1AB-2509-0007261,201091813
1AB-2509-0007261,201091814
1AB-2509-0007261,201091815
1AB-2509-0007261,201091816
1AB-2509-0007261,201091817
1AB-2509-0007261,201091818
1AB-2509-0007260,201091727
1AB-2509-0007257,201091725
1AB-2509-0007250,201091719
1AB-2509-0007243,201091718
1AB-2509-0007238,201091714
1AB-2509-0007237,201091710
1AB-2509-0007234,201091709
1AB-2509-0007235,201091707
1AB-2509-0007216,201091677
1AB-2509-0007207,201091669
1AB-2509-0007203,201098915
1AB-2509-0007203,201091662
1AB-2509-0007185,201091654
1AB-2509-0007138,201091649
1AB-2509-0007136,201091640
1AB-2509-0007116,201091638
1AB-2509-0007117,201091633
1AB-2509-0007088,201091622
1AB-2509-0007100,201091618
1AB-2509-0007095,201091612
1AB-2509-0007096,201091605
1AB-2509-0007086,201091603
1AB-2509-0007041,201091581
1AB-2509-0007036,201091571
1AB-2509-0007001,201091563
1AB-2509-0007031,201091554
1AB-2509-0007016,201091546
1AB-2509-0007015,201091545
1AB-2509-0007007,201091544
1AB-2509-0007011,201091521
1AB-2509-0006999,201091520
1AB-2509-0007003,201091518
1AB-2509-0007002,201091516
1AB-2509-0006985,201091510
1AB-2509-0006953,201091501
1AB-2509-0006931,201091486
1AB-2509-0006827,201091437
1AB-2509-0006912,201091436
1AB-2509-0006831,201091435
1AB-2509-0006883,201091418
1AB-2509-0006830,201091415
1AB-2509-0006872,201091406
1AB-2509-0006873,201091403
1AB-2509-0006870,201091400
1AB-2509-0006814,201091399
1AB-2509-0006857,201091394
1AB-2509-0006857,201091907
1AB-2509-0006856,201091393
1AB-2509-0006854,201091392
1AB-2509-0006853,201091391
1AB-2509-0006850,201091389
1AB-2509-0006845,201091385
1AB-2509-0006811,201091367
1AB-2509-0006811,201094267
1AB-2509-0006803,201091363
1AB-2509-0006797,201091359
1AB-2509-0006787,201091358
1AB-2509-0006789,201091353
1AB-2509-0006771,201091350
1AB-2509-0006758,201091331
1AB-2509-0006718,201091291
1AB-2509-0006695,201091269
1AB-2509-0006692,201091263
1AB-2509-0006682,201091257
1AB-2509-0006679,201091254
1AB-2509-0006667,201091252
1AB-2509-0006675,201091251
1AB-2509-0006672,201091250
1AB-2509-0006666,201091245
1AB-2509-0006655,201091237
1AB-2509-0006648,201091234
1AB-2509-0006622,201091222
1AB-2509-0006618,201091195
1AB-2509-0006617,201091194
1AB-2509-0006605,201091192
1AB-2509-0006594,201091182
1AB-2509-0006590,201091178
1AB-2509-0006583,201091175
1AB-2509-0006580,201091172
1AB-2509-0006572,201091169
1AB-2509-0006575,201091167
1AB-2509-0006541,201091164
1AB-2509-0006550,201091155
1AB-2509-0006548,201091154
1AB-2509-0006544,201091152
1AB-2509-0006501,201091130
1AB-2509-0006450,201091122
1AB-2509-0006470,201091111
1AB-2509-0006439,201091080
1AB-2509-0006473,201091078
1AB-2509-0006456,201091074
1AB-2509-0006462,201091070
1AB-2509-0006428,201091063
1AB-2509-0006432,201091047
1AB-2509-0006429,201091046
1AB-2509-0006411,201090988
1AB-2509-0006392,201090985
1AB-2509-0006406,201090982
1AB-2509-0006400,201090961
1AB-2509-0006395,201090960
1AB-2509-0006388,201090958
1AB-2509-0006384,201090951
1AB-2509-0006371,201090948
1AB-2509-0006359,201090947
1AB-2509-0006376,201090944
1AB-2509-0006375,201090943
1AB-2509-0006335,201090942
1AB-2509-0006358,201090939
1AB-2509-0006369,201090934
1AB-2509-0006321,201090932
1AB-2509-0006362,201090928
1AB-2509-0006341,201090926
1AB-2509-0006297,201090918
1AB-2509-0006346,201090916
1AB-2509-0006336,201090909
1AB-2509-0006327,201090908
1AB-2509-0006319,201090901
1AB-2509-0006309,201090896
1AB-2509-0006291,201091522
1AB-2509-0006291,201091221
1AB-2509-0006291,201091220
1AB-2509-0006291,201091219
1AB-2509-0006291,201091218
1AB-2509-0006291,201091217
1AB-2509-0006291,201090895
1AB-2509-0006300,201090889
1AB-2509-0006269,201090884
1AB-2509-0006286,201090861
1AB-2509-0006283,201090857
1AB-2509-0006241,201090850
1AB-2509-0006275,201090849
1AB-2509-0006270,201090842
1AB-2509-0006267,201090839
1AB-2509-0006263,201090837
1AB-2509-0006216,201090833
1AB-2509-0006252,201090831
1AB-2509-0006256,201095178
1AB-2509-0006249,201090824
1AB-2509-0006248,201090821
1AB-2509-0006214,201090819
1AB-2509-0006201,201090813
1AB-2509-0006194,201090800
1AB-2509-0006184,201090797
1AB-2509-0006181,201090795
1AB-2509-0006164,201090780
1AB-2509-0006159,201090778
1AB-2509-0006151,201090773
1AB-2509-0006138,201090769
1AB-2509-0006130,201090757
1AB-2509-0006129,201090756
1AB-2509-0006127,201090754
1AB-2509-0006126,201090753
1AB-2509-0006125,201091011
1AB-2509-0006125,201091025
1AB-2509-0006125,201091024
1AB-2509-0006125,201091022
1AB-2509-0006125,201091021
1AB-2509-0006125,201091019
1AB-2509-0006125,201091018
1AB-2509-0006125,201090752
1AB-2509-0006125,201091012
1AB-2509-0006125,201091013
1AB-2509-0006125,201091015
1AB-2509-0006114,201090746
1AB-2509-0006114,201091213
1AB-2509-0006115,201090745
1AB-2509-0006107,201090741
1AB-2509-0006108,201090740
1AB-2509-0006106,201090739
1AB-2509-0006105,201090737
1AB-2509-0006085,201090729
1AB-2509-0006058,201097154
1AB-2509-0006046,201090724
1AB-2509-0006048,201090722
1AB-2509-0006086,201090720
1AB-2509-0006084,201090719
1AB-2509-0006050,201090714
1AB-2509-0006056,201090698
1AB-2509-0006026,201090685
1AB-2509-0006027,201090684
1AB-2509-0006018,201090678
1AB-2509-0006013,201090673
1AB-2509-0006009,201090671
1AB-2509-0006007,201090670
1AB-2509-0006005,201090669
1AB-2509-0006003,201090667
1AB-2509-0005995,201090665
1AB-2509-0005992,201090663
1AB-2509-0005994,201090661
1AB-2509-0005977,201090657
1AB-2509-0005984,201090656
1AB-2509-0005953,201090643
1AB-2509-0005954,201090632
1AB-2509-0005959,201090628
1AB-2509-0005961,201090627
1AB-2509-0005905,201100155
1AB-2509-0005905,201090623
1AB-2509-0005928,201090622
1AB-2509-0005945,201090597
1AB-2509-0005914,201090592
1AB-2509-0005943,201090591
1AB-2509-0005925,201090586
1AB-2509-0005934,201090584
1AB-2509-0005930,201090581
1AB-2509-0005924,201090579
1AB-2509-0005916,201090576
1AB-2509-0005916,201098051
1AB-2509-0005900,201090573
1AB-2509-0005909,201090569
1AB-2509-0005883,201090559
1AB-2509-0005877,201090547
1AB-2509-0005873,201090543
1AB-2509-0005874,201090541
1AB-2509-0005831,201090536
1AB-2509-0005843,201090535
1AB-2509-0005870,201090533
1AB-2509-0005788,201090529
1AB-2509-0005833,201090526
1AB-2509-0005848,201090520
1AB-2509-0005845,201090518
1AB-2509-0005802,201090492
1AB-2509-0005734,201090461
1AB-2509-0005778,201090456
1AB-2509-0005760,201090455
1AB-2509-0005759,201090453
1AB-2509-0005779,201090450
1AB-2509-0005764,201090442
1AB-2509-0005741,201090436
1AB-2509-0005750,201090431
1AB-2509-0005756,201090429
1AB-2509-0005742,201090427
1AB-2509-0005731,201090401
1AB-2509-0005730,201090400
1AB-2509-0005707,201090381
1AB-2509-0005683,201090372
1AB-2509-0005689,201090370
1AB-2509-0005686,201090366
1AB-2509-0005682,201090363
1AB-2509-0005675,201090337
1AB-2509-0005668,201090335
1AB-2509-0005662,201090333
1AB-2509-0005662,201095171
1AB-2509-0005659,201090327
1AB-2509-0005655,201090320
1AB-2509-0005622,201090315
1AB-2509-0005640,201090312
1AB-2509-0005631,201090309
1AB-2509-0005628,201090305
1AB-2509-0005626,201090302
1AB-2509-0005626,201098916
1AB-2509-0005617,201090279
1AB-2509-0005583,201090259
1AB-2509-0005579,201090256
1AB-2509-0005573,201090253
1AB-2509-0005562,201090241
1AB-2509-0005559,201090238
1AB-2509-0005554,201090237
1AB-2509-0005552,201090235
1AB-2509-0005549,201090231
1AB-2509-0005535,201090222
1AB-2509-0005498,201090188
1AB-2509-0005487,201090183
1AB-2509-0005484,201090156
1AB-2509-0005470,201090147
1AB-2509-0005454,201090137
1AB-2509-0005449,201090135
1AB-2509-0005451,201090134
1AB-2509-0005445,201090132
1AB-2509-0005440,201090131
1AB-2509-0005438,201090129
1AB-2509-0005437,201090127
1AB-2509-0005406,201090126
1AB-2509-0005429,201090123
1AB-2509-0005428,201090120
1AB-2509-0005421,201090114
1AB-2509-0005410,201090110
1AB-2509-0005408,201090105
1AB-2509-0005409,201090104
1AB-2509-0005397,201090102
1AB-2509-0005398,201090081
1AB-2509-0005393,201090080
1AB-2509-0005389,201090078
1AB-2509-0005375,201090077
1AB-2509-0005377,201090071
1AB-2509-0005388,201090070
1AB-2509-0005379,201090067
1AB-2509-0005380,201090066
1AB-2509-0005373,201090063
1AB-2509-0005346,201090013
1AB-2509-0005307,201090004
1AB-2509-0005329,201089976
1AB-2509-0005313,201089959
1AB-2509-0005309,201089956
1AB-2509-0005278,201089938
1AB-2509-0005279,201089929
1AB-2509-0005244,201089910
1AB-2509-0005251,201089904
1AB-2509-0005222,201089898
1AB-2509-0005212,201089895
1AB-2509-0005232,201089886
1AB-2509-0005231,201089884
1AB-2509-0005208,201089882
1AB-2509-0005188,201089841
1AB-2509-0005163,201089821
1AB-2509-0005164,201089814
1AB-2509-0005172,201089811
1AB-2509-0005169,201089810
1AB-2509-0005143,201089808
1AB-2509-0005155,201089807
1AB-2509-0005165,201089806
1AB-2509-0005162,201089805
1AB-2509-0005157,201089804
1AB-2509-0005137,201089795
1AB-2509-0005076,201089793
1AB-2509-0005139,201089791
1AB-2509-0005133,201089786
1AB-2509-0005074,201089785
1AB-2509-0005122,201089784
1AB-2509-0005115,201089781
1AB-2509-0005118,201089780
1AB-2509-0005106,201089778
1AB-2509-0005061,201089777
1AB-2509-0005050,201089772
1AB-2509-0005071,201089766
1AB-2509-0005032,201089756
1AB-2509-0005028,201089752
1AB-2509-0005046,201089751
1AB-2509-0005034,201089749
1AB-2509-0005044,201089747
1AB-2509-0005010,201089738
1AB-2509-0005000,201089735
1AB-2509-0005008,201089733
1AB-2509-0005007,201089730
1AB-2509-0004979,201089726
1AB-2509-0004969,201089672
1AB-2509-0004967,201089668
1AB-2509-0004954,201089663
1AB-2509-0004927,201089638
1AB-2509-0004925,201089635
1AB-2509-0004924,201089634
1AB-2509-0004922,201089633
1AB-2509-0004906,201089624
1AB-2509-0004904,201089619
1AB-2509-0004901,201089618
1AB-2509-0004897,201089617
1AB-2509-0004899,201089616
1AB-2509-0004885,201089610
1AB-2509-0004872,201089605
1AB-2509-0004880,201089601
1AB-2509-0004874,201089595
1AB-2509-0004857,201089594
1AB-2509-0004869,201089590
1AB-2509-0004870,201089587
1AB-2509-0004855,201089578
1AB-2509-0004848,201089576
1AB-2509-0004794,201089550
1AB-2509-0004802,201089544
1AB-2509-0004782,201089521
1AB-2509-0004773,201089517
1AB-2509-0004773,201089853
1AB-2509-0004739,201089490
1AB-2509-0004701,201089441
1AB-2509-0004670,201089416
1AB-2509-0004666,201089413
1AB-2509-0004640,201089405
1AB-2509-0004656,201089400
1AB-2509-0004654,201089399
1AB-2509-0004648,201089391
1AB-2509-0004591,201089343
1AB-2509-0004566,201089333
1AB-2509-0004543,201089300
1AB-2509-0004543,201089846
1AB-2509-0004516,201089275
1AB-2509-0004501,201089254
1AB-2509-0004496,201089248
1AB-2509-0004492,201089245
1AB-2509-0004479,201089244
1AB-2509-0004451,201089232
1AB-2509-0004475,201089229
1AB-2509-0004476,201089227
1AB-2509-0004460,201089222
1AB-2509-0004425,201089204
1AB-2509-0004416,201089176
1AB-2509-0004412,201089174
1AB-2509-0004406,201089169
1AB-2509-0004407,201089168
1AB-2509-0004405,201089167
1AB-2509-0004403,201094595
1AB-2509-0004399,201089164
1AB-2509-0004383,201089162
1AB-2509-0004383,201091092
1AB-2509-0004374,201089148
1AB-2509-0004372,201089146
1AB-2509-0004351,201089131
1AB-2509-0004291,201089083
1AB-2509-0004273,201089051
1AB-2509-0004166,201088949
1AB-2509-0004168,201088942
1AB-2509-0004142,201088909
1AB-2509-0004127,201088905
1AB-2509-0004133,201088903
1AB-2509-0004120,201089683
1AB-2509-0004120,201089682
1AB-2509-0004120,201089021
1AB-2509-0004120,201088900
1AB-2509-0004120,201089020
1AB-2509-0004130,201088897
1AB-2509-0004124,201088893
1AB-2509-0004107,201088887
1AB-2509-0004101,201088880
1AB-2509-0004089,201088877
1AB-2509-0004096,201088872
1AB-2509-0004068,201088856
1AB-2509-0004066,201088854
1AB-2509-0003975,201088775
1AB-2509-0003932,201088747
1AB-2509-0003926,201088742
1AB-2509-0003848,201088724
1AB-2509-0003904,201088710
1AB-2509-0003751,201088593
1AB-2509-0003778,201088580
1AB-2509-0003748,201088554
1AB-2509-0003744,201088553
1AB-2509-0003741,201088552
1AB-2509-0003740,201088550
1AB-2509-0003739,201091541
1AB-2509-0003739,201088549
1AB-2509-0003742,201088548
1AB-2509-0003699,201088535
1AB-2509-0003697,201088530
1AB-2509-0003693,201088529
1AB-2509-0003692,201088528
1AB-2509-0003691,201088525
1AB-2509-0003680,201088517
1AB-2509-0003678,201088516
1AB-2509-0003670,201088510
1AB-2509-0003659,201088506
1AB-2509-0003663,201088504
1AB-2509-0003662,201088503
1AB-2509-0003655,201088479
1AB-2509-0003647,201088475
1AB-2509-0003636,201088469
1AB-2509-0003631,201088467
1AB-2509-0003626,201088461
1AB-2509-0003620,201088458
1AB-2509-0003609,201088454
1AB-2509-0003606,201088453
1AB-2509-0003594,201088448
1AB-2509-0003581,201088443
1AB-2509-0003590,201088439
1AB-2509-0003583,201088435
1AB-2509-0003567,201088424
1AB-2509-0003563,201088421
1AB-2509-0003557,201088418
1AB-2509-0003553,201088417
1AB-2509-0003554,201088415
1AB-2509-0003550,201088414
1AB-2509-0003546,201088411
1AB-2509-0003531,201088410
1AB-2509-0003529,201088405
1AB-2509-0003524,201088397
1AB-2509-0003498,201088396
1AB-2509-0003512,201088395
1AB-2509-0003521,201088394
1AB-2509-0003516,201088393
1AB-2509-0003507,201088388
1AB-2509-0003505,201088386
1AB-2509-0003451,201088377
1AB-2509-0003409,201088375
1AB-2509-0003461,201088358
1AB-2509-0003444,201088356
1AB-2509-0003449,201090605
1AB-2509-0003449,201090604
1AB-2509-0003449,201088321
1AB-2509-0003427,201088297
1AB-2509-0003417,201088291
1AB-2509-0003411,201088279
1AB-2509-0003405,201088276
1AB-2509-0003395,201088272
1AB-2509-0003368,201088269
1AB-2509-0003396,201088267
1AB-2509-0003360,201088253
1AB-2509-0003375,201088248
1AB-2509-0003371,201088245
1AB-2509-0003367,201088242
1AB-2509-0003359,201088197
1AB-2509-0003339,201088194
1AB-2509-0003351,201088192
1AB-2509-0003335,201088189
1AB-2509-0003347,201088188
1AB-2509-0003284,201088143
1AB-2509-0003272,201088130
1AB-2509-0003273,201088129
1AB-2509-0003253,201088126
1AB-2509-0003246,201088110
1AB-2509-0003214,201088077
1AB-2509-0003191,201088076
1AB-2509-0003156,201088072
1AB-2509-0003165,201088066
1AB-2509-0003175,201088065
1AB-2509-0003197,201088059
1AB-2509-0003189,201088055
1AB-2509-0003177,201089720
1AB-2509-0003177,201088044
1AB-2509-0003153,201087920
1AB-2509-0003172,201087919
1AB-2509-0003151,201087912
1AB-2509-0003143,201087910
1AB-2509-0003141,201087908
1AB-2509-0003140,201087905
1AB-2509-0003139,201087903
1AB-2509-0003126,201087899
1AB-2509-0003091,201087889
1AB-2509-0003090,201087888
1AB-2509-0003085,201087885
1AB-2509-0003071,201087873
1AB-2509-0003005,201087813
1AB-2509-0003004,201087812
1AB-2509-0002986,201087803
1AB-2509-0002976,201087773
1AB-2509-0002974,201088221
1AB-2509-0002974,201087772
1AB-2509-0002967,201087767
1AB-2509-0002969,201087766
1AB-2509-0002966,201087764
1AB-2509-0002964,201087762
1AB-2509-0002962,201087760
1AB-2509-0002928,201087737
1AB-2509-0002930,201087735
1AB-2509-0002923,201087728
1AB-2509-0002873,201087708
1AB-2509-0002876,201087700
1AB-2509-0002858,201087693
1AB-2509-0002870,201087690
1AB-2509-0002859,201087660
1AB-2509-0002843,201087655
1AB-2509-0002796,201087626
1AB-2509-0002797,201087625
1AB-2509-0002771,201087622
1AB-2509-0002781,201087599
1AB-2509-0002711,201087593
1AB-2509-0002773,201087587
1AB-2509-0002768,201087583
1AB-2509-0002770,201087582
1AB-2509-0002753,201087581
1AB-2509-0002756,201087569
1AB-2509-0002745,201087568
1AB-2509-0002729,201087564
1AB-2509-0002735,201087563
1AB-2509-0002668,201087543
1AB-2509-0002667,201087533
1AB-2509-0002655,201087531
1AB-2509-0002680,201087529
1AB-2509-0002659,201087507
1AB-2509-0002624,201087503
1AB-2509-0002657,201087494
1AB-2509-0002626,201087459
1AB-2509-0002628,201087458
1AB-2509-0002623,201087454
1AB-2509-0002618,201087451
1AB-2509-0002615,201087450
1AB-2509-0002613,201087449
1AB-2509-0002613,201087985
1AB-2509-0002606,201087447
1AB-2509-0002605,201087445
1AB-2509-0002598,201087442
1AB-2509-0002596,201087438
1AB-2509-0002579,201087433
1AB-2509-0002574,201087428
1AB-2509-0002577,201087426
1AB-2509-0002572,201087422
1AB-2509-0002559,201087397
1AB-2509-0002560,201090618
1AB-2509-0002560,201087395
1AB-2509-0002560,201090617
1AB-2509-0002553,201087393
1AB-2509-0002554,201087390
1AB-2509-0002551,201087389
1AB-2509-0002543,201087385
1AB-2509-0002544,201087383
1AB-2509-0002533,201087378
1AB-2509-0002531,201087376
1AB-2509-0002521,201087372
1AB-2509-0002519,201087368
1AB-2509-0002505,201087364
1AB-2509-0002510,201087363
1AB-2509-0002508,201087362
1AB-2509-0002507,201087361
1AB-2509-0002506,201087359
1AB-2509-0002495,201087357
1AB-2509-0002493,201087355
1AB-2509-0002487,201087354
1AB-2509-0002491,201087350
1AB-2509-0002488,201087349
1AB-2509-0002469,201087348
1AB-2509-0002475,201087344
1AB-2509-0002470,201087340
1AB-2509-0002465,201087334
1AB-2509-0002452,201087326
1AB-2509-0002441,201087324
1AB-2509-0002445,201087301
1AB-2509-0002440,201087298
1AB-2509-0002440,201088236
1AB-2509-0002438,201087297
1AB-2509-0002435,201087295
1AB-2509-0002432,201087292
1AB-2509-0002430,201100351
1AB-2509-0002431,201087288
1AB-2509-0002376,201087284
1AB-2509-0002418,201087283
1AB-2509-0002419,201087282
1AB-2509-0002414,201087261
1AB-2509-0002371,201087257
1AB-2509-0002409,201087302
1AB-2509-0002332,201087252
1AB-2509-0002335,201087200
1AB-2509-0002265,201087194
1AB-2509-0002276,201087191
1AB-2509-0002324,201087189
1AB-2509-0002314,201087180
1AB-2509-0002323,201087179
1AB-2509-0002290,201087178
1AB-2509-0002280,201087171
1AB-2509-0002282,201087166
1AB-2509-0002301,201087164
1AB-2509-0002307,201087162
1AB-2509-0002296,201087160
1AB-2509-0002170,201087145
1AB-2509-0002216,201087114
1AB-2509-0002237,201087111
1AB-2509-0002215,201087057
1AB-2509-0002202,201087040
1AB-2509-0002192,201087037
1AB-2509-0002195,201087033
1AB-2509-0002163,201087021
1AB-2509-0002148,201087019
